occurrenceID,eventID,measurementID,measurementType,measurementValue,measurementAccuracy,measurementUnit,measurementDeterminedDate,measurementDeterminatedBy,measurementMethod,measurementRemarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0243-01,CCCP:EXP.PACÍFICO:G04:2021:11:RB,ZV00C00E,Biovolumen_300µm,297.5179,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0246-01,CCCP:EXP.PACÍFICO:G06:2021:12:RB,ZV00C00E,Biovolumen_300µm,66.0345,"±0,10 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0250-01,CCCP:EXP.PACÍFICO:G05:2021:13:RB,ZV00C00E,Biovolumen_300µm,127.9452,"±0,10 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0254-01,CCCP:EXP.PACÍFICO:G04:2021:14:RB,ZV00C00E,Biovolumen_300µm,279.1604,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0258-01,CCCP:EXP.PACÍFICO:G03:2021:15:RB,ZV00C00E,Biovolumen_300µm,784.2161,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0261-01,CCCP:EXP.PACÍFICO:G02:2021:16:RB,ZV00C00E,Biovolumen_300µm,614.8220,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0264-01,CCCP:EXP.PACÍFICO:G01:2021:17:RB,ZV00C00E,Biovolumen_300µm,998.4410,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0267-01,CCCP:EXP.PACÍFICO:G03:2021:18:RB,ZV00C00E,Biovolumen_300µm,215.3624,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0270-01,CCCP:EXP.PACÍFICO:G02:2021:19:RB,ZV00C00E,Biovolumen_300µm,966.3853,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0273-01,CCCP:EXP.PACÍFICO:G01:2021:20:RB,ZV00C00E,Biovolumen_300µm,802.9044,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0276-01,CCCP:EXP.PACÍFICO:A06:2021:21:RB,ZV00C00E,Biovolumen_300µm,188.7638,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0279-01,CCCP:EXP.PACÍFICO:A05:2021:22:RB,ZV00C00E,Biovolumen_300µm,337.7564,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0282-01,CCCP:EXP.PACÍFICO:A04:2021:23:RB,ZV00C00E,Biovolumen_300µm,759.5948,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0285-01,CCCP:EXP.PACÍFICO:A03:2021:24:RB,ZV00C00E,Biovolumen_300µm,75.4304,"±0,10 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0288-01,CCCP:EXP.PACÍFICO:A06:2021:25:RB,ZV00C00E,Biovolumen_300µm,1344.1056,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0292-01,CCCP:EXP.PACÍFICO:A05:2021:26:RB,ZV00C00E,Biovolumen_300µm,1256.0706,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0296-01,CCCP:EXP.PACÍFICO:A04:2021:27:RB,ZV00C00E,Biovolumen_300µm,121.4865,"±0,10 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0300-01,CCCP:EXP.PACÍFICO:A03:2021:28:RB,ZV00C00E,Biovolumen_300µm,760.9745,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0304-01,CCCP:EXP.PACÍFICO:S02:2021:29:RB,ZV00C00E,Biovolumen_300µm,642.9818,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0307-01,CCCP:EXP.PACÍFICO:S01:2021:30:RB,ZV00C00E,Biovolumen_300µm,401.6778,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0310-01,CCCP:EXP.PACÍFICO:A02:2021:31:RB,ZV00C00E,Biovolumen_300µm,440.3149,"±0,10 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0313-01,CCCP:EXP.PACÍFICO:A01:2021:32:RB,ZV00C00E,Biovolumen_300µm,123.0642,"±0,10 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0316-01,CCCP:EXP.PACÍFICO:S02:2021:33:RB,ZV00C00E,Biovolumen_300µm,1019.5060,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0319-01,CCCP:EXP.PACÍFICO:S01:2021:34:RB,ZV00C00E,Biovolumen_300µm,1174.7039,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0322-01,CCCP:EXP.PACÍFICO:A02:2021:35:RB,ZV00C00E,Biovolumen_300µm,783.9458,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0325-01,CCCP:EXP.PACÍFICO:A01:2021:36:RB,ZV00C00E,Biovolumen_300µm,1016.1871,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0210-01,CCCP:EXP.PACÍFICO:S06:2021:01:RB,ZV00C008,Biovolumen_500µm,151.1616,"±0,10 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0214-01,CCCP:EXP.PACÍFICO:S05:2021:02:RB,ZV00C008,Biovolumen_500µm,157.2771,"±0,10 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0218-01,CCCP:EXP.PACÍFICO:S06:2021:03:RB,ZV00C008,Biovolumen_500µm,145.9709,"±0,10 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0221-01,CCCP:EXP.PACÍFICO:S05:2021:04:RB,ZV00C008,Biovolumen_500µm,446.9785,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0224-01,CCCP:EXP.PACÍFICO:S04:2021:05:RB,ZV00C008,Biovolumen_500µm,2333.9765,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0227-01,CCCP:EXP.PACÍFICO:S03:2021:06:RB,ZV00C008,Biovolumen_500µm,733.6215,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0230-01,CCCP:EXP.PACÍFICO:S04:2021:07:RB,ZV00C008,Biovolumen_500µm,85.5616,"±0,10 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0234-01,CCCP:EXP.PACÍFICO:S03:2021:08:RB,ZV00C008,Biovolumen_500µm,158.4275,"±0,10 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
